LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,CONSTRUCTION_NO,SAMPLE_NO,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,HYDRO_02,HYDRO_002,HYDRO_001,GT_2MM
1,502,506,1,1,4,2,BA302,2,BS302,100,100,100,100,100,99,98,95,93,66,35,22.39999962,21,15,,7
1,504,4155,1,1,1,1,BA*,1,BS**,100,100,100,100,100,99,98,95,94,74,40,25.29999924,23.29999924,19.20000076,,6
1,505,508,1,1,1,2,BA6,1,BS06,100,100,100,100,100,98.40000153,97.80000305,96.40000153,94.40000153,70.69999695,33.90000153,23.20000076,14.39999962,8.600000381,,5.599999905
1,505,4155,1,1,1,2,BA*,1,BS**,100,100,100,100,99,98,97,94,93,75,41,27.70000076,25.10000038,22,,7
1,506,506,1,1,4,2,BA302,2,BS302,100,100,100,100,100,99,98,95,93,66,35,22.39999962,21,15,,7
1,506,506,1,1,4,2,BA301,2,BS301,100,100,100,100,100,99,98,95,93,66,38,23.70000076,20.79999924,15.30000019,,7
1,506,508,1,1,1,2,BA4,1,BS04,100,100,100,100,100,97.09999847,95.59999847,93.80000305,91.90000153,68.30000305,33.40000153,23.10000038,19.5,15.39999962,,8.100000381
1,507,506,1,1,4,2,BA303,2,BS303,100,100,100,100,99,98,97,94,92,65,36,22.60000038,19.5,13.5,,8
1,508,506,1,1,4,2,BA301,2,BS301,100,100,100,100,100,99,98,95,93,66,38,23.70000076,20.79999924,15.30000019,,7
1,509,506,1,1,4,2,BA302,2,BS302,100,100,100,100,100,99,98,95,93,66,35,22.39999962,21,15,,7
1,509,506,1,1,1,1,BA1,1,BS01,100,100,100,100,100,98.69999695,98,97.30000305,96.19999695,65.19999695,30.60000038,18.89999962,13.39999962,7.300000191,,3.799999952
1,509,508,1,1,1,2,BA5,1,BS05,100,100,100,100,100,96.90000153,95.90000153,94.30000305,92.30000305,70.5,33,22.39999962,19.10000038,14.80000019,,7.699999809
1,563,506,1,1,4,2,BA302,2,BS302,100,100,100,100,100,99,98,95,93,66,35,22.39999962,21,15,,7
1,563,506,1,1,4,2,BA301,2,BS301,100,100,100,100,100,99,98,95,93,66,38,23.70000076,20.79999924,15.30000019,,7
1,563,506,1,1,1,1,BA2,1,BS02,100,100,100,100,100,100,100,99.30000305,98.19999695,66,32.79999924,20.60000038,14.39999962,8.5,,1.799999952
1,563,508,1,1,1,2,BA6,1,BS06,100,100,100,100,100,98.40000153,97.80000305,96.40000153,94.40000153,70.69999695,33.90000153,23.20000076,14.39999962,8.600000381,,5.599999905
1,563,4155,1,1,1,1,BA*,1,BS**,100,100,100,100,100,99,98,95,94,74,40,25.29999924,23.29999924,19.20000076,,6
1,564,506,1,1,4,2,BA303,2,BS303,100,100,100,100,99,98,97,94,92,65,36,22.60000038,19.5,13.5,,8
1,564,4155,1,1,1,1,BA*,1,BS**,100,100,100,100,100,99,98,95,94,74,40,25.29999924,23.29999924,19.20000076,,6
1,606,606,1,1,3,1,BA511,2,BS306,100,100,100,97,93,88,85,78,71,61,57,50.79999924,34.09999847,23.39999962,,29
1,661,606,1,1,3,2,BA507,2,BS312,100,100,94,90,87,80,76,67,60,53,50,46,34.29999924,23.70000076,,40
1,661,606,1,1,3,1,BA511,2,BS306,100,100,100,97,93,88,85,78,71,61,57,50.79999924,34.09999847,23.39999962,,29
1,1019,1019,1,1,1,1,BA*,1,BS**,100,100,100,100,100,99,98,96,95,89,77,53.20000076,28,15.10000038,0,5
1,3998,3998,1,1,1,1,BA*,2,BS**,100,100,100,100,100,100,100,100,100,94,59,32.59999847,23,19,0,0
1,4007,4007,1,1,1,2,BA*,1,BS**,100,100,97,95,92,88,84,76,63,55,50,41.90000153,31,20,0,37
1,4126,4126,1,1,1,1,BA*,1,BS**,100,100,100,100,100,98,97,94,90,87,50,31.79999924,27,16.5,0,10
1,4127,4127,1,1,1,1,BA*,2,BS**,100,99,98,97,96,92,89,82,73,64,56,48.70000076,41,26,,27
1,A310,4125,1,1,1,2,BA*,1,BS**,100,100,100,100,98,95,91,86,81,53,36,28.70000076,24,18,0,19
1,A320,4125,1,1,1,1,BA*,1,BS**,100,100,100,100,98,94,89,84,78,56,35,28.29999924,23,15,0,22
1,A330,4125,1,1,1,1,BA*,1,BS**,100,100,100,100,98,94,89,84,78,56,35,28.29999924,23,15,0,22
