LINKED_SHRP_ID,LINKED_LAYER_NO,SHRP_ID,STATE_CODE,LAYER_NO,TEST_NO,FIELD_SET,LOC_NO,SAMPLE_NO,MR_MATL_TYPE,MAX_DRY_DENSITY,COMP_MOIST_CONT,COMP_DRY_DENSITY,CONSTRUCTION_NO
264,2,215,4,2,2,1,B307,BG07,1,2242.600098,7.099999905,2116.699951,1
264,2,260,4,2,2,1,B318,BG18,1,2210.5,6.900000095,2060.899902,1
265,1,267,4,1,2,1,B316,BS16,2,2002.300049,10.89999962,1860.5,1
267,1,222,4,1,2,1,B303,BS03,2,2002.300049,10,1892.400024,1
501,1,559,4,1,2,1,BA*,BS**,2,1986.300049,9.800000191,1882,1
501,2,509,4,2,1,1,B*,BG**,1,2210.5,5.400000095,2030,1
504,1,502,4,1,1,1,TP2,BS92,2,2050.399902,7.699999809,1938.900024,1
504,1,504,4,1,1,1,TP1,BS92,2,2146.5,7,2024.699951,1
505,2,508,4,2,1,3,BA261,BG261,1,2162.5,5.699999809,2034.599976,5
506,1,505,4,1,2,1,B*,BS*,2,2018.300049,8.899999619,1911.099976,1
506,2,508,4,2,1,3,BA261,BG261,1,2162.5,5.699999809,2034.599976,5
559,1,509,4,1,1,1,B*,BS**,2,2082.399902,7.800000191,1973,1
560,1,509,4,1,1,1,B*,BS**,2,2082.399902,7.800000191,1973,1
604,2,604,4,2,2,1,B*,BG**,1,2242.600098,6,2092.199951,1
662,2,608,4,2,2,1,B*,BG**,1,2130.5,7.5,2061.600098,1
902,2,902,4,2,2,1,B29,BG29,1,2258.600098,6,2151.100098,1
903,1,903,4,1,2,1,B25,BS25,2,2098.399902,9.100000381,1961.599976,1
1006,2,1006,4,2,2,1,TP1,BG91,2,2002.300049,8.399999619,1732.199951,1
A442,1,7613,4,1,1,1,BA*,BS**,2,1986.199951,11.5,1840.699951,1
A455,1,7613,4,1,1,1,BA*,BS**,2,1986.199951,11.5,1840.699951,1
A458,1,7613,4,1,1,1,BA*,BS**,2,1986.199951,11.5,1840.699951,1
C310,1,1017,4,1,1,1,BA*,BS**,2,2050.300049,9.300000191,1974.199951,2
C340,1,1017,4,1,1,1,BA*,BS**,2,2050.300049,9.300000191,1974.199951,2
3073,1,3073,5,1,1,1,BA*,BS**,2,,7.599999905,2068,1
4019,2,4019,5,2,1,1,BA*,BG**,2,,11.39999962,1741.199951,1
5803,1,5803,5,1,2,1,BA*,BS**,2,,10.60000038,1803.699951,1
B430,2,4019,5,2,1,1,BA*,BG**,2,,11.39999962,1741.199951,1
201,2,211,6,2,1,1,B40,BG40,1,2226.600098,6.099999905,2168.699951,1
203,2,212,6,2,1,1,B15,BG15,1,2178.5,8.699999809,2101,1
204,1,204,6,1,2,1,B12,BS12,2,1842.099976,10,1728.400024,1
204,2,202,6,2,2,1,B11,BG11,1,2178.5,7.400000095,2130.699951,1
205,1,210,6,1,1,1,B10,BS10,2,1826.099976,10.89999962,1709.400024,1
209,1,202,6,1,2,1,B11,BS11,2,1826.099976,10.5,1730.699951,1
210,1,210,6,1,1,1,B10,BS10,2,1826.099976,10.89999962,1709.400024,1
212,2,211,6,2,1,1,B13,BG13,1,2226.600098,6.599999905,2149.300049,1
212,2,211,6,2,1,1,B40,BG40,1,2226.600098,6.099999905,2168.699951,1
502,1,561,6,1,2,1,TP3,BS93,2,1954.300049,10,1836.900024,1
502,2,564,6,2,2,1,BA10,BG02,1,2130.5,6.099999905,2098.100098,1
503,2,507,6,2,2,1,TP2,BG92,1,2018.300049,9.699999809,1967.5,1
