LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE
1,0205,0201,10,1,1,2,B12,BS06,1,2002.50,9
2,0205,0205,10,2,5,1,BA322,BS337,3,2005.70,8
1,0206,0202,10,1,1,2,B9,BS03,1,1986.50,10
2,0206,0202,10,2,6,1,BA310,BS316,1,1901.60,9
1,0207,0212,10,1,1,2,B8,BS02,1,1970.50,11
1,0209,0211,10,1,1,2,B11,BS05,1,2018.50,10
3,0209,0202,10,3,6,1,BA309,BG309,1,2332.50,6
3,0209,0202,10,3,6,1,BA310,BG310,1,2290.90,6
3,0209,0202,10,3,2,2,B14,BG08,1,2354.90,6
2,0210,0210,10,2,5,1,BA306,BS309,4,2008.90,9
3,0210,0201,10,3,2,2,B15,BG09,1,2338.90,6
2,0211,0202,10,2,6,1,BA310,BS316,1,1901.60,9
2,0211,0211,10,2,7,1,BA312,BS320,1,2076.20,7
3,0212,0202,10,3,6,1,BA309,BG309,1,2332.50,6
3,0212,0202,10,3,6,1,BA310,BG310,1,2290.90,6
1,1009,1009,20,1,1,1,BX01,BSX01,1,1922.40,12
1,4052,4052,20,1,1,1,BA1,BS01,1,1938.40,11
2,6043,6043,21,2,1,2,TP1,BG55,2,2274.80,6
2,0501,0502,23,2,1,2,BA1,BG61,1,2114.60,7
2,0501,0504,23,2,3,1,BAX03,BGX03,3,2186.70,6
1,0502,0504,23,1,3,2,BA302,BS302,3,2098.60,6
3,0502,0504,23,3,3,1,BAX02,BGX02,3,2186.70,7
2,0503,0502,23,2,1,2,BA1,BG61,1,2114.60,7
2,0503,0502,23,2,1,2,BA2,BS02,1,2162.70,7
2,0504,0502,23,2,1,2,BA1,BG61,1,2114.60,7
2,0504,0508,23,2,1,2,BA5,BS05,1,2194.70,7
2,0505,0502,23,2,1,2,BA3,BG63,1,2130.70,7
2,0505,0508,23,2,1,2,BA5,BS05,1,2194.70,7
2,0505,0559,23,2,1,2,TP2,BG58,1,2258.80,7
3,0505,0503,23,3,3,2,BAX01,BGX01,3,2175.50,6
3,0505,0506,23,3,1,2,TP1,BG55,1,2194.70,7
3,0506,0504,23,3,3,1,BAX02,BGX02,3,2186.70,7
2,0507,0508,23,2,1,2,BA5,BS05,1,2194.70,7
2,0508,0508,23,2,1,2,BA4,BS04,1,2242.80,7
2,0559,0504,23,2,3,1,BAX03,BGX03,3,2186.70,6
2,0559,0559,23,2,1,2,TP2,BG58,1,2258.80,7
3,0559,0503,23,3,3,2,BAX01,BGX01,3,2175.50,6
2,1001,1001,23,2,1,1,BX01,BGX01,1,2146.70,8
2,1009,1009,23,2,1,2,TP1,BG56,1,2130.70,7
1,3013,3013,23,1,1,1,BX05,BSX05,1,1938.40,10
2,1002,1002,25,2,1,2,TP1,BG56,2,2066.60,7
2,0259,0204,10,2,1,2,B1,BG01,1,1911.20,8
1,0260,0212,10,1,1,2,B8,BS02,1,1970.50,11
2,0260,0207,10,2,1,2,B4,BG04,1,1909.60,8
2,0260,0210,10,2,5,1,BA307,BS311,4,1992.90,9
3,0260,0201,10,3,2,2,B15,BG09,1,2338.90,6
2,0101,0109,12,2,6,2,BAX02,BGX02,1,2209.20,6
1,0102,0106,12,1,1,2,B2,BS02,1,1986.50,10
1,0104,0104,12,1,1,2,B4,BS04,1,2034.50,10
2,0105,0161,12,2,2,2,B22,BG22,1,2018.50,10
1,0106,0101,12,1,1,1,B5,BS05,1,1970.50,9
1,0107,0104,12,1,1,2,B4,BS04,1,2034.50,10
2,0109,0101,12,2,2,2,B9,BG03,1,2194.70,7
1,0110,0106,12,1,1,2,B2,BS02,1,1986.50,10
1,0111,0101,12,1,1,1,B5,BS05,1,1970.50,9
1,0112,0161,12,1,1,2,B6,BS06,1,2018.50,10
1,0161,0106,12,1,1,2,B2,BS02,1,1986.50,10
1,0502,0563,12,1,1,2,TP3,BS57,1,1752.60,13
2,0502,1030,12,2,1,1,BA*,BG**,1,1890.40,8
3,0502,0503,12,3,3,1,BAX08,BGX06,2,2114.60,7
2,0503,0504,12,2,3,1,BAX05,BGX03,2,2290.90,6
3,0503,1030,12,3,1,2,TP1,BG55,1,2082.60,9
2,0504,0504,12,2,3,1,BAX05,BGX03,2,2290.90,6
1,0505,1030,12,1,1,2,TP1,BS55,1,1714.10,12
1,0506,1030,12,1,1,1,BA*,BS**,1,1714.10,12
2,0506,0506,12,2,3,2,BAX04,BGX02,2,1874.30,8
3,0506,0503,12,3,3,1,BAX08,BGX06,2,2114.60,7
1,0507,1030,12,1,1,2,TP1,BS55,1,1714.10,12
2,0507,1030,12,2,1,2,TP1,BG56,1,1810.30,11
3,0508,0503,12,3,3,1,BAX08,BGX06,2,2114.60,7
1,0509,1030,12,1,1,1,BA*,BS**,1,1714.10,12
2,0509,1030,12,2,1,1,BA*,BG**,1,1890.40,8
3,0509,0503,12,3,3,1,BAX08,BGX06,2,2114.60,7
3,0509,0504,12,3,3,1,BAX07,BGX05,2,2098.60,7
2,0561,0504,12,2,3,1,BAX05,BGX03,2,2290.90,6
