LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,LIQUID_LIMIT,PLASTIC_LIMIT,PLASTICITY_INDEX,CONSTRUCTION_NO
3,C446,7082,49,3,1,2,BA4,BG05,0,0,NP,1
3,C447,7082,49,3,1,1,BA1,BG01,0,0,NP,1
2,C448,7082,49,2,1,2,BA4,BG06,0,0,NP,1
3,C451,7082,49,3,1,2,BA4,BG05,0,0,NP,1
1,C455,7082,49,1,1,2,BA4,BS03,24,19,5,1
1,C456,7082,49,1,1,2,BA4,BS03,24,19,5,1
1,0120,0114,40,1,1,2,B1,BS01,27,19,8,1
1,0120,0120,40,1,1,2,B5,BS05,41,17,24,1
1,0121,0116,40,1,1,2,B2,BS02,44,19,25,1
2,0121,0123,40,2,5,2,BA303,BT303,20,17,3,2
3,0121,0117,40,3,2,2,B8,BG02,,,NP,1
1,0124,0122,40,1,1,2,B4,BS04,31,16,15,1
1,0502,0502,40,1,1,1,BA2,BS02,35,17,18,1
1,0504,0504,40,1,1,1,BA4,BS04,36,16,20,1
1,0506,0504,40,1,1,1,BA4,BS04,36,16,20,1
1,0560,0504,40,1,1,1,BA6,BS06,37,16,21,1
2,0603,0601,40,2,1,1,TP1,BG55,21,17,4,1
1,0604,0601,40,1,1,1,TP1,BS55,55,19,36,1
2,0605,0604,40,2,1,1,TP2,BG56,21,16,5,1
1,1015,1015,40,1,1,1,BA*,BS**,,,NP,1
1,1017,1017,40,1,1,2,BA*,BS**,,,NP,1
1,4158,4158,40,1,1,1,BA*,BS**,,,NP,1
1,4160,4160,40,1,1,1,BA*,BS**,55,22,33,1
1,4162,4162,40,1,1,2,BA*,BS**,20,17,3,1
1,4164,4164,40,1,1,1,BA*,BS**,,,NP,1
1,4166,4166,40,1,1,2,BA*,BS**,37,20,17,1
1,4166,4166,40,1,1,1,BA*,BS**,35,22,13,1
1,A350,4087,40,1,1,1,BA*,BS**,44,23,21,1
1,C330,4088,40,1,1,1,BA*,BS**,24,15,9,1
3,2002,2002,41,3,1,2,TP1,BG91,42,16,26,1
3,2002,2002,41,3,1,1,BA*,BG**,35,30,5,1
1,5005,5005,41,1,1,2,BA*,BS**,39,20,19,1
2,5005,5005,41,2,1,2,BA*,BG**,30,19,11,1
1,6011,6011,41,1,1,1,BA*,BS**,58,23,35,1
3,6012,6012,41,3,1,2,TP1,BG91,0,0,NP,1
3,6012,6012,41,3,1,1,BA*,BG**,0,0,NP,1
2,7019,7019,41,2,1,2,BA*,BG**,30,26,4,1
2,0602,0608,42,2,5,2,BA245,BG245,23,15,8,2
1,0603,0608,42,1,4,3,BA6,BS06,22,15,7,2
2,0605,0608,42,2,5,2,BA244,BG244,20,15,5,2
2,0607,0662,42,2,3,1,BA508,BG246,18,15,3,2
2,0608,0608,42,2,5,2,BA245,BG245,23,15,8,2
1,0660,0608,42,1,5,2,BA245,BS245,27,16,11,2
1,0660,0608,42,1,5,2,BA244,BS244,26,15,11,2
1,0660,0608,42,1,4,3,BA6,BS06,22,15,7,2
2,0660,0603,42,2,3,3,B5,BG05,,,,2
2,0660,0608,42,2,4,3,BA6,BG06,,,NP,2
2,0661,0608,42,2,5,2,BA245,BG245,23,15,8,2
1,0108,0105,20,1,1,2,B6,BS04,,,NP,1
2,0108,0159,20,2,2,2,BAX15,BGX15,36,22,14,2
3,0108,0105,20,4,1,2,B15,BG04,16,14,2,1
1,0109,0103,20,1,1,2,B7,BS06,21,17,4,1
2,0109,0109,20,2,2,2,BA315,BS309,21,18,3,3
3,0109,0159,20,2,2,2,BA305,BG301,30,37,NP,2
4,0109,0101,20,4,1,2,B12,BG01,17,15,2,1
4,0109,0102,20,4,1,2,B13,BG02,16,14,2,1
4,0109,0109,20,4,2,1,BA313,BG302,12,13,NP,3
1,0112,0112,20,1,1,2,B5,BS03,,,NP,1
1,0160,0159,20,1,2,2,BA305,BS303,41,17,24,2
1,0160,0159,20,1,2,1,BA303,BS302,32,14,18,2
2,0162,0159,20,2,2,2,BAX15,BGX15,36,22,14,2
2,0163,0103,20,2,2,2,BA325,BG305,22,23,NP,2
1,0201,0201,20,1,1,7,B2,BS02,43,19,24,1
1,0201,0201,20,1,1,2,B2,BS02,47,16,31,1
1,0201,0207,20,1,1,2,B4,BS04,40,14,26,1
3,0201,0201,20,3,1,2,B7,BG07,19,16,3,1
1,0202,0203,20,1,1,7,B1,BS01,38,17,21,1
1,0202,0210,20,1,1,7,B6,BS06,33,16,17,1
1,0202,0259,20,1,1,7,B12,BS12,36,15,21,1
3,0202,0204,20,3,1,1,B9,BG09,19,16,3,1
1,0203,0201,20,1,1,7,B2,BS02,43,19,24,1
1,0203,0203,20,1,1,2,B1,BS01,42,15,27,1
1,0203,0207,20,1,1,7,B4,BS04,34,15,19,1
1,0203,0210,20,1,1,2,B6,BS06,35,14,21,1
1,0203,0212,20,1,2,1,BAX07,BSX07,50,14,36,2
3,0203,0204,20,3,1,1,B9,BG09,19,16,3,1
3,0203,0209,20,3,2,1,BAX03,BGX03,23,16,7,2
1,0204,0207,20,1,1,2,B4,BS04,40,14,26,1
1,0204,0209,20,1,2,1,BAX09,BSX09,48,15,33,2
1,0205,0201,20,1,1,2,B2,BS02,47,16,31,1
1,0205,0207,20,1,1,7,B4,BS04,34,15,19,1
1,0205,0211,20,1,1,2,B11,BS11,37,16,21,1
1,0205,0212,20,1,1,2,B5,BS05,56,42,14,1
1,0206,0209,20,1,2,1,BAX09,BSX09,48,15,33,2
1,0206,0211,20,1,1,7,B11,BS11,34,17,17,1
1,0206,0212,20,1,1,7,B5,BS05,46,18,28,1
1,0206,0212,20,1,1,2,B5,BS05,56,42,14,1
1,0208,0201,20,1,1,7,B2,BS02,43,19,24,1
1,0209,0212,20,1,1,7,B5,BS05,46,18,28,1
3,0209,0202,20,3,1,7,B8,BG08,,,NP,1
2,0210,0211,20,2,2,1,BAX05,BGX05,45,16,29,2
3,0211,0212,20,3,2,1,BAX01,BGX01,24,16,8,2
1,0212,0203,20,1,1,2,B1,BS01,42,15,27,1
3,0212,0201,20,3,1,2,B7,BG07,19,16,3,1
3,0212,0201,20,3,1,7,B7,BG07,,,NP,1
1,0259,0211,20,1,1,2,B11,BS11,37,16,21,1
2,0259,0209,20,2,2,1,BAX06,BGX06,36,19,17,2
1,1009,1009,20,1,1,2,TP1,BS55,21,17,4,1
1,1010,1010,20,1,1,2,TP1,BS55,25,17,8,1
1,5005,5005,10,1,1,2,BX03,BSX03,0,0,NP,1
1,5005,5005,10,1,1,1,BX02,BSX02,0,0,NP,1
1,1400,1400,11,1,1,1,BX01,BSX01,27,0,NP,1
2,0101,0101,12,2,2,2,B9,BG03,,,NP,1
2,0107,0109,12,2,6,2,BAX02,BGX02,13,14,NP,1
2,0108,0109,12,2,6,2,BAX02,BGX02,13,14,NP,1
2,0109,0102,12,2,6,1,BA501,BG301,14,13,1,1
2,0109,0109,12,2,6,2,BAX02,BGX02,13,14,NP,1
1,0111,0161,12,1,1,2,B6,BS06,,,NP,1
1,0112,0112,12,1,1,2,B3,BS03,,,NP,1
1,0161,0101,12,1,1,1,B5,BS05,,,NP,1
1,0161,0112,12,1,1,2,B3,BS03,,,NP,1
2,0161,0161,12,2,2,2,B22,BG22,,,NP,1
1,0502,0506,12,1,3,2,BAX02,BSX02,,23,NP,2
2,0502,0506,12,2,3,2,BAX04,BGX02,16,19,NP,2
2,0502,0508,12,2,3,2,BA303,BG306,15,15,NP,2
2,0502,0563,12,2,1,2,TP3,BG60,,,NP,1
2,0502,1030,12,2,1,2,TP1,BG56,,,NP,1
1,0503,0508,12,1,3,2,BA303,BS303,,17,NP,2
1,0503,0563,12,1,1,2,TP3,BS57,,,NP,1
1,0503,1030,12,1,1,1,BA**,BS**,,,NP,1
2,0503,1030,12,2,1,1,BA*,BG**,,,NP,1
3,0503,0503,12,3,1,1,TP1,BG55,,,NP,1
3,0503,0565,12,3,3,2,BA501,BG307,14,12,2,2
1,0505,1030,12,1,1,1,BA**,BS**,,,NP,1
2,0505,0508,12,2,3,2,BA303,BG306,15,15,NP,2
2,0505,1030,12,2,1,2,TP1,BG56,,,NP,1
3,0505,0508,12,3,3,2,BA303,BG305,14,14,NP,2
3,0505,0565,12,3,3,2,BA501,BG307,14,12,2,2
3,0506,0503,12,3,3,1,BAX08,BGX06,14,13,1,2
2,0507,0508,12,2,3,2,BA303,BG306,15,15,NP,2
3,0507,0503,12,3,1,1,TP1,BG55,,,NP,1
3,0507,1030,12,3,1,2,TP1,BG55,,,NP,1
3,0508,1030,12,3,1,1,BA*,BG**,,,NP,1
3,0509,1030,12,3,1,1,BA*,BG**,,,NP,1
1,0561,0503,12,1,3,1,BAX01,BSX01,,23,NP,2
2,0561,1030,12,2,1,1,BA*,BG**,,,NP,1
3,0561,0563,12,3,1,2,TP3,BG59,,,NP,1
2,E420,4142,48,2,1,1,BA*,BG**,,,NP,1
1,F320,3579,48,1,1,2,TP1,BS55,44,18,26,1
1,F330,3579,48,1,1,2,TP1,BS55,44,18,26,1
2,G310,1169,48,2,1,1,BA*,BG**,,,NP,1
1,G330,1169,48,1,1,1,BA*,BS**,,,NP,1
3,H320,1050,48,3,1,2,TP1,BG55,,,NP,1
3,H340,1050,48,3,1,2,TP1,BG55,,,NP,1
1,H350,1050,48,1,1,1,BA*,BS**,32,17,15,1
3,J310,1122,48,3,1,1,BA*,BG**,16,14,2,1
3,J320,1122,48,3,1,1,BA*,BG**,16,14,2,1
1,J330,1122,48,1,1,2,TP1,BS55,26,14,12,1
2,J330,1122,48,2,1,2,TP1,BG56,,,NP,1
3,J330,1122,48,3,1,2,TP1,BG55,16,15,1,1
1,K340,9005,48,1,1,2,TP1,BS55,50,21,29,1
2,K340,9005,48,2,1,2,TP1,BG55,26,17,9,1
1,L310,3769,48,1,1,1,BA*,BS**,,,NP,1
1,L310,3769,48,1,1,2,TP1,BS55,,,NP,1
2,L310,3769,48,2,1,2,TP1,BG55,,,NP,1
2,L320,3769,48,2,1,2,TP1,BG55,,,NP,1
2,L330,3769,48,2,1,1,BA*,BG**,,,NP,1
3,M320,3749,48,3,1,2,TP1,BG55,,,NP,1
3,M330,3749,48,3,1,2,TP1,BG55,,,NP,1
3,M340,3749,48,3,1,1,BA*,BG**,,,NP,1
1,N340,3739,48,1,1,2,TP1,BS55,,,NP,1
3,Q310,3865,48,3,1,1,BA*,BG**,19,15,4,1
1,Q350,3865,48,1,1,2,BA*,BS**,20,14,6,1
1,Q350,3865,48,1,1,1,BA*,BS**,22,15,7,1
1,0803,0803,49,1,1,1,B1,BS01,29,15,14,1
