LINKED_SHRP_ID,LINKED_LAYER_NO,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE
0501,3,0503,23,3,3,2,BAX01,BGX01,3,2175.5,6
0502,2,0559,23,2,1,2,TP2,BG58,1,2258.8,7
0503,2,0504,23,2,3,1,BAX03,BGX03,3,2186.7,6
0503,2,0508,23,2,1,2,BA5,BS05,1,2194.7,7
0503,3,0559,23,3,1,2,TP2,BG57,1,2226.8,7
0506,1,0506,23,1,1,2,TP1,BS55,1,2066.6,8
0506,2,0506,23,2,1,2,TP1,BG56,1,2082.6,7
0506,3,0503,23,3,3,2,BAX01,BGX01,3,2175.5,6
0507,3,0503,23,3,3,2,BAX01,BGX01,3,2175.5,6
0507,3,0504,23,3,3,1,BAX02,BGX02,3,2186.7,7
0508,2,0508,23,2,1,2,BA5,BS05,1,2194.7,7
0508,3,0504,23,3,3,1,BAX02,BGX02,3,2186.7,7
0509,3,0503,23,3,3,2,BAX01,BGX01,3,2175.5,6
0559,2,0506,23,2,1,2,TP1,BG56,1,2082.6,7
0559,2,0508,23,2,1,2,BA4,BS04,1,2242.8,7
1012,3,1012,23,3,1,2,TP1,BG55,1,2098.6,6
3013,1,3013,23,1,1,2,BX04,BSX04,1,1922.4,6
7023,2,7023,23,2,1,2,BX02,BGX02,1,2066.6,8
0502,1,0560,24,1,1,2,BX02,BSX02,1,1698.1,16
0503,1,0560,24,1,1,2,BX02,BSX02,1,1698.1,16
0503,3,0502,24,3,1,2,BX01,BGX01,1,2258.8,6
0503,3,0507,24,3,1,2,T1,BG55,1,2210.8,5
0504,3,0509,24,3,1,2,BX01,BGX01,1,2274.8,5
0505,1,0509,24,1,3,2,BAX05,BSX05,5,1738.2,15
0505,2,0505,24,2,3,2,BAX02,BTX02,3,1563.6,22
0503,2,4155,1,2,1,2,BA*,BG**,1,2242.8,6
0503,2,4155,1,2,1,1,BA*,BG**,1,2242.8,5
0503,3,0503,1,3,4,1,BA307,BG317,2,2210.8,6
0503,3,0504,1,3,4,2,BA305,BG311,2,2238.0,6
0504,2,0504,1,2,4,2,BA305,BG312,2,2037.7,9
0504,3,0503,1,3,4,1,BA307,BG317,2,2210.8,6
0505,1,4155,1,1,1,2,BA*,BS**,1,2018.5,11
0506,2,0502,1,2,1,1,TP1,BG56,1,2018.5,9
0506,2,4155,1,2,1,1,BA*,BG**,1,2242.8,5
0507,2,0506,1,2,4,2,BA303,BG306,2,2117.8,7
0507,2,0506,1,2,4,2,BA302,BG304,2,2153.1,6
0563,3,0506,1,3,4,2,BA303,BG305,2,2210.8,6
0564,2,0504,1,2,4,2,BA305,BG312,2,2037.7,9
0564,2,0506,1,2,4,2,BA302,BG304,2,2153.1,6
