LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,VISUAL_CLASS
1,0101,0105,32,1,1,2,B31,BS06,1,143
3,0101,0101,32,3,1,2,B1,BG01,1,261
3,0102,0101,32,3,1,2,B1,BG01,1,261
1,0103,0107,32,1,1,2,B29,BS04,1,216
3,0103,0110,32,3,2,3,BA263,BG283,1,308
1,0104,0101,32,1,1,2,B26,BS01,1,214
1,0104,0109,32,1,1,2,B28,BS03,1,214
3,0105,0105,32,3,1,2,B6,BG06,1,261
3,0106,0110,32,3,2,3,BA263,BG283,1,308
1,0107,0111,32,1,1,2,B30,BS05,1,216
3,0108,0104,32,3,2,3,BA261,BG281,2,308
4,0109,0102,32,4,1,2,B9,BG23,1,304
1,0110,0107,32,1,1,2,B29,BS04,1,216
3,0110,0107,32,3,1,2,B4,BG04,1,255
3,0110,0111,32,3,1,2,B5,BG05,1,261
3,0111,0106,32,3,1,2,B2,BG02,1,261
1,0112,0106,32,1,1,2,B27,BS02,1,114
3,0112,0106,32,3,1,2,B2,BG02,1,261
3,0112,0106,32,3,2,3,BA262,BG282,1,308
3,0201,0210,32,3,1,2,B6,BG06,1,255
3,0201,0211,32,3,1,2,B3,BG03,1,255
3,0202,0204,32,3,1,2,B5,BG05,1,255
3,0202,0206,32,3,1,2,B7,BG07,1,215
4,0202,0211,32,4,1,2,B9,BG22,1,304
3,0203,0206,32,3,1,2,B7,BG07,1,215
4,0204,0204,32,4,1,2,B10,BG23,1,304
1,0205,0205,32,1,1,1,B29,BS01,1,213
3,0205,0205,32,3,1,1,B1,BG01,1,255
1,0206,0204,32,1,1,2,B33,BS05,1,145
1,0207,0210,32,1,1,2,B34,BS06,1,145
1,0208,0204,32,1,1,2,B33,BS05,1,145
3,0208,0207,32,3,1,2,B4,BG04,1,255
4,0209,0204,32,4,1,2,B10,BG23,1,304
1,0210,0210,32,1,1,2,B34,BS06,1,145
3,0210,0204,32,3,1,2,B5,BG05,1,255
3,0210,0210,32,3,1,2,B6,BG06,1,255
1,0211,0204,32,1,1,2,B33,BS05,1,145
1,0211,0210,32,1,1,2,B34,BS06,1,145
3,0211,0211,32,3,1,2,B3,BG03,1,255
4,0211,0201,32,4,1,2,B8,BG21,1,304
3,1021,1021,32,3,1,1,BA*,BG**,1,308
1,1030,1030,32,1,1,1,BA*,BS**,1,267
1,3013,3013,32,1,1,2,BA6,BS09,1,255
2,7084,7084,32,2,1,2,BA*,BG**,1,308
3,7084,7084,32,3,1,2,BA*,BG**,1,308
3,A310,1021,32,3,1,1,BA*,BG**,1,308
1,0208,0208,37,1,1,1,B6,BS06,1,101
1,0208,0208,37,1,1,1,B6,BS**,1,145
1,0208,0212,37,1,1,8,A14,TS14,1,109
2,0208,0202,37,2,1,2,B8,BG08,1,303
2,0209,0204,37,2,1,1,B9,BG09,1,303
3,0209,0202,37,3,5,2,BAX02,BGX02,1,303
2,0210,0204,37,2,1,1,B9,BG09,1,303
3,0210,0201,37,3,5,2,BAX01,BGX01,1,303
3,0903,0961,34,2,1,2,A02A61,BG04A61,1,308
3,0903,0961,34,3,1,1,A01A61,BG01A61,1,308
1,0960,0902,34,1,1,2,A02A02,BS02A02,1,214
1,0960,0902,34,1,1,1,A01A02,BS01A02,1,214
2,0960,1011,34,2,1,1,BX02,BGX02,1,308
1,0961,0903,34,1,1,1,A01A03,BS01A03,1,214
2,0961,0901,34,2,1,1,A01A01,BG03A01,1,308
2,0961,0902,34,2,1,1,A01A02,BG03A02,1,308
2,0961,0903,34,3,1,2,A02A03,BG02A03,1,308
2,0961,0962,34,3,1,1,A01A62,BG01A62,1,308
2,0961,1011,34,2,1,1,BX02,BGX02,1,308
3,0961,0962,34,2,1,2,A02A62,BG04A62,1,308
3,0961,1011,34,3,1,1,BX01,BGX01,1,308
3,0961,1011,34,3,1,2,TP1,BG55,1,308
2,0962,0903,34,2,1,1,A01A03,BG03A03,1,308
2,0962,0961,34,2,1,2,A02A61,BG04A61,1,308
2,0962,0962,34,2,1,1,A01A62,BG03A62,1,308
2,1003,1003,34,2,1,1,BX02,BGX02,1,308
3,1030,1030,34,3,1,2,TP1,BG55,1,304
2,1031,1031,34,2,1,2,TP1,BG55,1,304
1,1034,1034,34,1,1,2,TP1,BS55,1,204
1,0102,0110,35,1,5,2,BA507,BS308,1,103
3,0102,0102,35,3,5,1,BA501,BG301,2,304
1,0103,0102,35,1,1,3,A3,TS05,1,109
1,0104,0106,35,1,1,3,A8,TS15,1,100
1,0105,0102,35,1,1,3,A2,TS03,1,103
1,0105,0102,35,1,1,3,A3,TS05,1,109
1,0105,0110,35,1,1,3,A15,TS29,1,216
1,0105,0111,35,1,5,2,BA509,BS310,2,217
1,0106,0104,35,1,1,3,A4,TS07,1,103
1,0106,0109,35,1,1,2,B5,BS05,1,115
1,0109,0106,35,1,1,3,A8,TS15,1,100
1,0109,0106,35,1,1,3,A7,TS13,1,114
1,0110,0102,35,1,1,3,A2,TS03,1,103
1,0111,0103,35,1,1,2,B2,BS02,1,103
1,0111,0110,35,1,5,1,BA303,BS307,1,217
1,0501,0504,35,1,4,1,BAX01,BSX01,3,216
1,0503,0506,35,1,4,1,BA502,BS302,3,216
2,0503,0506,35,2,4,1,BA502,BG302,3,307
1,0504,0504,35,1,4,1,BAX01,BSX01,3,216
1,0507,0504,35,1,4,1,BAX01,BSX01,3,216
2,0802,0802,35,2,4,1,BA304,BG305,1,308
1,2118,2118,35,1,1,1,BA*,BS**,1,214
3,6035,6035,35,3,1,2,TP1,BG55,1,308
1,0801,0859,36,1,1,3,B3,BS03,1,214
1,0801,0859,36,1,1,2,B3,BS03,1,210
2,0801,0802,36,2,1,2,B5,BG02,1,303
1,0859,0801,36,1,1,3,A3,TS05,1,214
1,0859,0801,36,1,1,2,B1,BS**,1,214
2,0859,0801,36,2,1,2,B4,BG01,1,303
2,0859,0802,36,2,4,2,BAX03,BGX03,1,303
1,1011,1011,36,1,1,2,TP1,BS55,1,265
1,1644,1644,36,1,1,2,TP1,BS55,1,203
2,1644,1644,36,2,1,1,BX01,BGX01,1,308
2,A310,1643,36,2,1,1,BX01,BGX01,1,308
2,A321,1643,36,2,1,2,TP1,BG55,1,304
2,A340,1643,36,2,1,1,BX01,BGX01,1,308
2,A340,1643,36,2,1,2,TP1,BG55,1,304
1,A350,1643,36,1,1,1,BX02,BSX02,1,215
1,B340,1644,36,1,1,2,TP1,BS55,1,203
2,B350,1644,36,2,1,2,TP1,BG55,1,308
1,B351,1644,36,1,1,1,BX02,BSX02,1,211
2,B351,1644,36,2,1,2,TP1,BG55,1,308
2,B354,1644,36,2,1,2,TP1,BG55,1,308
1,0202,0202,37,1,5,2,BAX16,BSX16,1,145
1,0202,0210,37,1,1,1,B2,BS02,1,117
2,0202,0204,37,2,1,1,B9,BG09,1,303
1,0203,0206,37,1,1,3,A9,TS09,1,145
1,0203,0206,37,1,1,8,A8,TS08,1,214
1,0203,0207,37,1,1,1,B4,BS**,1,214
1,0203,0208,37,1,1,3,A16,TS16,1,143
1,0203,0208,37,1,1,8,A17,TS17,1,145
1,0203,0212,37,1,1,3,A13,TS13,1,145
3,0203,0201,37,3,1,2,B7,BG07,1,302
1,0204,0206,37,1,1,3,A7,TS07,1,145
1,0204,0207,37,1,1,3,A11,TS11,1,202
1,0204,0208,37,1,1,1,B6,BS06,1,101
1,0204,0208,37,1,1,3,A18,TS18,1,145
2,0204,0201,37,2,1,2,B7,BG07,1,303
3,0204,0201,37,3,5,2,BAX01,BGX01,1,303
3,0204,0203,37,3,5,2,BAX03,BGX03,1,303
1,0205,0201,37,1,1,3,A3,TS03,1,133
1,0205,0201,37,1,1,3,A1,TS01,1,101
1,0205,0205,37,1,5,2,BAX10,BSX10,1,145
1,0206,0206,37,1,1,1,B3,BS**,1,145
1,0207,0208,37,1,1,1,B6,BS06,1,101
1,0207,0208,37,1,1,3,A17,TS17,1,145
1,0207,0212,37,1,1,3,A13,TS13,1,145
1,1050,1050,48,1,1,1,BA*,BS**,1,216
3,1050,1050,48,3,1,2,TP1,BG55,1,303
